,title,discounted price,brand,percent dicount,original cost,image link
38,Color Block Men Multicolor Track Pants,₹199,VGPARROT,83% off,"₹1,199",https://rukminim1.flixcart.com/image/660/792/l1l1rww0/track-pant/c/f/g/free-checked-207-vgparrot-original-imagd3wvxdyhfgtf.jpeg?q=50
39,Solid Men Dark Blue Track Pants,₹199,ASDF,80% off,₹999,https://rukminim1.flixcart.com/image/660/792/l3dcl8w0/track-pant/3/v/i/m-df1-navy-asdf-asdf-original-imageg4gskwzpc4h.jpeg?q=50
40,Solid Men Black Track Pants,₹201,Finz Air,79% off,₹999,https://rukminim1.flixcart.com/image/660/792/kj8wccw0-0/track-pant/u/c/d/xxl-gym-lower-track-pant-finz-air-original-imafyv2fhhyup7ag.jpeg?q=50
41,Solid Men Black Track Pants,₹203,Tik Tok WEARS,59% off,₹499,https://rukminim1.flixcart.com/image/660/792/kthjy4w0/track-pant/7/h/d/m-navy-blue-tik-tok-wears-original-imag6tgaq5ptn2cf.jpeg?q=50
42,Solid Men Grey Track Pants,₹206,French Kleider,79% off,₹999,https://rukminim1.flixcart.com/image/660/792/kruyw7k0/track-pant/8/n/a/m-tp-001-french-kleider-original-imag5k6vug4rzwqr.jpeg?q=50
43,Solid Men Blue Track Pants,₹206,French Kleider,75% off,₹849,https://rukminim1.flixcart.com/image/660/792/kv5kfww0/track-pant/b/w/i/m-article-25-tik-tok-wears-original-imag842hfcy3qp5h.jpeg?q=50
44,Solid Men Brown Track Pants,₹206,French Kleider,79% off,₹999,https://rukminim1.flixcart.com/image/660/792/kruyw7k0/track-pant/c/1/i/l-tp-001-french-kleider-original-imag5k8ga6tkxtv8.jpeg?q=50
45,Solid Men Black Track Pants,₹207,FITNICK,79% off,₹999,https://rukminim1.flixcart.com/image/660/792/krxtrww0/track-pant/j/j/h/26-mens-lowers-style-cotton-summer-gym-fitnick-original-imag5mf6btsphhdg.jpeg?q=50
46,Solid Men Black Track Pants,₹209,PENTRAIN,79% off,₹999,https://rukminim1.flixcart.com/image/660/792/l0lbrm80/track-pant/b/r/d/l-open-finoster-original-imagccjytwjdbpbd.jpeg?q=50
47,Solid Men Black Track Pants,₹210,Mesaa,47% off,₹399,https://rukminim1.flixcart.com/image/660/792/ko4ni4w0/track-pant/t/4/u/m-black-track-pant-mesaa-original-imag2np6yp8a4t58.jpeg?q=50
48,Solid Men Black Track Pants,₹210,FITNICK,78% off,₹999,https://rukminim1.flixcart.com/image/660/792/klwmufk0/track-pant/e/f/p/28-jogger-nk1-fitnick-original-imagywqduxb3mmgb.jpeg?q=50
49,Solid Men Black Track Pants,₹210,FITNICK,78% off,₹999,https://rukminim1.flixcart.com/image/660/792/klo27bk0/track-pant/u/1/i/32-lower-mens-wear-pant-stylish-cotton-fitnick-original-imagyqbyrns4mmze.jpeg?q=50
50,Solid Men Black Track Pants,₹211,FITNICK,78% off,₹999,https://rukminim1.flixcart.com/image/660/792/klwmufk0/track-pant/o/b/i/36-lower-trackpant-jogger-stylish-fitnick-original-imagywpxmbhhwvup.jpeg?q=50
51,Solid Men Black Track Pants,₹213,Finz Air,78% off,₹999,https://rukminim1.flixcart.com/image/660/792/kk4c13k0/track-pant/2/9/y/36-jogger-lower-track-pant-gym-running-finz-air-original-imafzjfvzzbu32mz.jpeg?q=50
52,Solid Men Black Track Pants,₹215,PINZZ,78% off,₹999,https://rukminim1.flixcart.com/image/660/792/ktaeqvk0/track-pant/c/6/9/m-bt-01-urshop-original-imag6z6ap9nz5ecb.jpeg?q=50
53,Color Block Men Black Track Pants,₹217,Tee town,78% off,₹999,https://rukminim1.flixcart.com/image/660/792/l20rma80/track-pant/m/l/9/30-22-lower-l4-tee-town-original-imagdgkgeayd7gku.jpeg?q=50
54,Solid Men Grey Track Pants,₹219,FARSH,78% off,₹999,https://rukminim1.flixcart.com/image/660/792/l3hmwsw0/track-pant/g/l/q/xxl-tksp-pg-farsh-original-imagehctajttcu9j.jpeg?q=50
55,Solid Men Black Track Pants,₹220,shinakshi,26% off,₹300,https://rukminim1.flixcart.com/image/660/792/l3khsi80/track-pant/w/y/a/34-trackpants-tigerstyle-shinakshi-original-imagenx5zafhnnhq.jpeg?q=50
56,Solid Men Black Track Pants,₹220,ASDF,77% off,₹999,https://rukminim1.flixcart.com/image/660/792/l3bx5e80/track-pant/a/k/m/s-df1-black-asdf-original-imageh9rs8nkb3qk.jpeg?q=50
57,Solid Men Dark Blue Track Pants,₹221,FabryKa,77% off,₹999,https://rukminim1.flixcart.com/image/660/792/kt1u3rk0/track-pant/u/c/8/m-single-patti-pant-fabryka-original-imag6h6f4hqtvzez.jpeg?q=50
58,Solid Men Black Track Pants,₹221,Aashi Fashion,68% off,₹699,https://rukminim1.flixcart.com/image/660/792/ktizdzk0/track-pant/j/t/n/xl-lower-aashi-fashion-original-imag6uxv4fmygnkh.jpeg?q=50
59,Striped Men Black Track Pants,₹221,Crazy Shopper,77% off,₹999,https://rukminim1.flixcart.com/image/660/792/l0igvww0/track-pant/p/f/l/m-line-black-lower-m-crazy-shopper-original-imagca3c6q72prdy.jpeg?q=50
60,Solid Men Blue Track Pants,₹223,Feed Up,85% off,"₹1,499",https://rukminim1.flixcart.com/image/660/792/je09ua80/track-pant/u/c/c/m-feedupplaintrackpantsblue-feed-up-original-imaenuqnkhtxzbkz.jpeg?q=50
61,Printed Men Blue Track Pants,₹224,FastColors,88% off,"₹1,999",https://rukminim1.flixcart.com/image/660/792/kfbfr0w0hlty2aw-0/track-pant/n/p/p/l-1-fc2010-fastcolors-original-imafvyg3p4pahqdd.jpeg?q=50
62,Solid Men Maroon Track Pants,₹249,VeBNoR,81% off,"₹1,330",https://rukminim1.flixcart.com/image/660/792/kuipea80/track-pant/m/6/x/xxl-mens-track-vebnor-original-imag7m7sdpzerzys.jpeg?q=50
63,Solid Men Black Track Pants,₹225,GURFLI,79% off,"₹1,099",https://rukminim1.flixcart.com/image/660/792/kzd147k0/track-pant/e/d/a/xl-number-gurfli-original-imagbeeacuhyajqg.jpeg?q=50
64,Striped Men Black Track Pants,₹225,Crazy Shopper,77% off,₹999,https://rukminim1.flixcart.com/image/660/792/l0igvww0/track-pant/p/f/l/m-line-black-lower-m-crazy-shopper-original-imagca3c6q72prdy.jpeg?q=50
65,Solid Men Green Track Pants,₹225,Best Friends Forever,77% off,"₹1,000",https://rukminim1.flixcart.com/image/660/792/l2tcfbk0/track-pant/i/3/u/m-plain-2-way-best-friends-forever-original-image2nqgwnud57s.jpeg?q=50
